texto,opinion
"""Started to take Gabapentin for nerve pain 3x100mg daily. Even this low dose gave me headaches and migraine. I increased my intake of water and as the days went by I was able to increase the dosage as suggested by my doctor and the headaches ceased. The pharmacist did suggest that Gabapentin can dehydrate and dehydration can lead to headaches.""",1
#Pacman - Congrats - Is there a movie of the life of Pacman? I am interested to create and fund it ,1
"This Motel will be the last place in Washington, Pa I would ever stay again. The rooms say no smoking, yet the bed spread and blanket had burn holes in them. The furniture was old and broken. The bathroom was newly finished, yet had BLACK MOLD on the walls .When I let them know at the front desk, they really... More",0
@JetBlue we made it safe and sound. Thank you for the safe travels.,1
"Just needed a place to stay for the night. Nothing fancy. When I arrived took 45 min to check in. There was another person and I trying to check in only. The man at the desk keep stopping to help everyone who would walk in leaving us just standing there. Even if it was just talking to the random that were walking in. When we finally checked in, there was nowhere to park. People who had rooms on the other side of the hotel was parked on our side so we had no place to park. My husband had to pull behind someone to get our stuff out then drove it to the gasstation and asked if we could park there for the night and he had to walk back to the room. Also, there was a party going on in the next room which wasn't that big of a deal cuz they weren't loud or disturbing us but because of the party they had this man that stood in front of our door trying to sell us drugs as soon as we walked up. Everytime we walked out he kept on. I have a 10 year old daughter that was with us. Called the front to let them know of this man and the guy at the desk just laughed and said oh yea he's here often, he won't bother you. UM I'M CALLING BECAUSE HE IS BOTHERING ME. Worst hotel I ever stayed at.. and I've stayed at some terrible hotels.",0
@AmericanAir not sure why we are being made to stand in line outside for plane that isn't ready to board when I could be sitting inside,0
"""MY!  That is so cute!  It also seems totally normal and harmless.  I have a nephew",0
@herbadmother it's really hard for them isn't it?  We've all been there.  I hate it when mine get left out too. ,0
"Enjoyed every minute of our stay. Everything is convenient, the food, shopping, and sight seeing activities, I.e.,museums.",1
"Under the agreement Benefon 's forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",0
useless piece of device for a device that already has a mic... the performance is very average...!!! looks smooth tho.,0
"""I am 32 years of age and I have tried everything I mean everything. I started using this and my skin is now amazing. Yes the first week my skin was red in the evening when I put it on but it has to me to settle at night and was fine the next morning, a bit dry but just use a good hydrating cream and serum or rosehip oil after and it settles down. After a week the redness at night dissappeared as my skin got used to it. After a week I had no new spots and my old ones were clearing up nicely. Its now been 3 months and I&#039;m on my second bottle and can&#039;t rate this stuff enough. My skin is 99% clear apart from that once a month flare of one or two and thats it. I also use md formualtions glycolic cleanser and a hydrating serum morning and night.""",1
@united Sivi Stewart at Lax was fantastic tonight helping to find a lost item for us at the airport.  Much thanks!,1
For some odd reason I can't re-add 1989 on my phone. @apple stop depriving me of my jams,0
"I stayed in a room on the 3rd floor. Upon waking up, I found a bed bug on the curtain. After calling the front desk, I was told that finding a bed bug was absolutely impossible. Donna, at the front desk, said she'd be right up. After waiting 10 minutes, I called back down to see when she anticipated coming... More",0
@united they have access to the dial that makes it faster do they?,0
"""I have always had a problem with acne. My doctor recommended me this gel and I have to say I can see the results. I would pick at my pimples and I would have scars .Then as I started to use the gel there slowly fading.  But I still have some acne on my forehead . Hopefully  by the end of February my face is back to new .""",1
Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros .,0
is awake at a sensible time and is doing alot of coursework bohoo ,0
@JetBlue service getting worse and worse. Plane can't fly waiting on a 2nd aircraft. So much for planning.,0
The solution will now be expanded to include all ground staff tasks .,0
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,0
"Don't let advertised low price on the sign fool you like it did to me. You must stay 7 days to get that price. After that it's all downhill. Room smell, don't walk around in bare feet carpet hasn't been used in months. Bathroom grease stains on floor and in tub. Sink doesn't drain. This is not a family motel... More",0
"""I have purchased a small laptop (netbook type) for use as a large tablet.  It has a touch screen and Windows 8 installed.  However",1
@united I am blown away by stellar #custserv !! Thank you &lt;3 http://t.co/JOrEScfb4x,1
"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",0
"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax .",0
@Apple #ipad #innovation  let us maintain what we enjoyed when we were young http://t.co/Tpt3k2GBAS via @HuffPostTech http://t.co/Tpt3k2GBAS,1
"""Been on Junel for over three months now, and I&#039;ve noticed a huge change in my mood. I snap at the smallest things, have no remorse towards how I act, and then bawl my eyes out the next moment. It&#039;s to the point now I have called my dr and told them I don&#039;t want to take it anymore, but they said I have to finish this month. I&#039;m dreading this month of what may come. I already suffer from depression and this is just making it much worse.""",0
I luoe taking hot showers but I have to take a cold shower because of my sunburn!                                   Jelaine,0
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",0
@united @staralliance Now do the right thing and reinstate the tickets you voided #UnitedFail,0
@USAirways @PeterPiatetsky Ummmm I think US Air's computers@were@down for hours - my flight is 3 hours Late Flight.,0
"""I have had diarrhea for the past 25 years. I also had my gall bladder removed in 2006 was running on 12 % for who knows how long. Quality of life socially was impaired by needing a bathroom w/o much of a warning at least 4 to 5 times a day. I would not go out in public for very long. And forget ever eating out! I tried everything over the counter and behind the counter and  sometimes both with little to no relief.  Finally my P/A  and I put our heads together and came up with Welchor.  it has been a big life changer. I am starting to do things that I haven&#039;t been able to do for quite some time.  it&#039;s been a big life changer for me. 4 months now,   3 x 625 mg twice daily.  No side effects as of yet.  52 yr/female.""",1
@USAirways but the automated message says the line is too busy to join the queue! #stuckintheloop,0
"""They do not work. Days later I am way worse then I was. They do nothing to the cough. This drug is a joke. Do not take!""",0
@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,1
Installed easy and in no time at all (finding the stud was the hardest part for me).  Articulates well with the 40&#34; TV on it. I would not hesitate to look for this brand when it is time for the next TV mount.,1
"""I was suffering from acne due to my sensitive skin and severe summer heat.  I tried my teenage time acne cream in my late twenties but i felt it was too mild to work on my much matured skin like now. Then one of my friend, was a satisfied user of Retin A , suggested me to use Retin A 0.05%. I stated it in the winter to avoid over sweating and heat of summer. I face little flaky skin. first 2 weeks my acne breakout little more than the usual. but after that, acne seemed to be decreased. Whenever I feel too dry skin other than the acne affected area, I used pure Vaseline. Now I am cured and my skin is glowing. I am continuing the use of Retin A with my regular night cream as anti-aging properties. And I am quite satisfied with this.""",1
"""I am shocked at the out of pocket price of Zetia of out of $95,00 a month. Since this seems to be on only non statin replacement of the use with cholesterol you are definitely price gouging""",0
"""This drug made me feel crazy! Increased hallucinations, delusions and paranoia! Wouldn&#039;t recommend to anyone, stay away from this med!!!""",0
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",1
"""DO NOT TAKE THIS DRUG!!! From 1999-2005 I was on depo for birth control. Being young I thought this was the easiest solution and a better alternative to the pill everyday. I injection every 3 months. Sounds great right. Well, in 2005 Pfizer legally had to put a black label warning on their product warning that it may cause osteoporosis. Fast forward to today and I am now diagnosed with MS, there have been claims and speculation about Depo that it&rsquo;s linked to neurological problems. I am 36 years old and in the next year or so I will have to remove all my teeth and get dentures because there is so much bone density loss in my mouth. Two months ago I had surgery for endometriosis. Osteoporosis testing tomorrow, this drug is not the solution.""",0
@AmericanAir you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse,0
Why can't I hide the gray controller on the DVD player? What heck? @apple http://t.co/izCIqWbtFL,0
"I would never stay at this hotel again. My room in the south tower, 1927 was filthy dirty and it looked like the carpets had not been cleaned in years. The lamp was broken, the wall by the AC looked like it had severe water damage and probably mold. I woke up to cold showers every morning and the shower... More",0
"""I&#039;m on my second, and last, depo shot. The first time I got the shot I only experience spotting for about 2.5 months. During my second shot I&#039;ve experience severe abdominal pain causing me to barely be able to eat for a few months now, depression that comes and goes out of nowhere, headaches, weakness and fatigue even if I sleep 8 hours I still feel exhausted throughout the day, and since the second shot I&#039;ve had multiple anxiety attacks. I would not recommend this shot to anyone. I haven&#039;t felt like myself in months and even the smallest amount of stress will get to me and cause an anxiety attack or depression. Before the shot, I&#039;ve never had any of these symptoms.""",0
"""I actually felt these made me worse if anything, I had the shakes after I took them and felt as sick if not more.""",0
@JetBlue just DMed. thanks so much for addressing this so quickly.,1
Im An Internet Guru... Give Me Money And Ill Send You Some Stuff ,1
"""After getting my 2nd Prolia injection, I&#039;ve had the worst 4 months of my life!!  Within a couple weeks, I went from a very young 70 yr old to a 90 year old woman.  My back and hips have been so painful, that I have to wear a stiff back support to be able to move.  Even with this, I can&#039;t stand up straight. I am awakened at night because of the pain and I can&#039;t turn over in bed.  I am constantly achey and tired.  Before Prolia, I was extremely active.  I worked with a personal trainer twice a week for six months, before the 2nd injection, but now, I have probably lost all the muscle, strength and flexibility I gained.  I put my gym membership on hold, until I can move, again, without pain. Prolia is the worst!!!!!""",0
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,1
@AmericanAir Lets hope it stays that way.Big thanks to your ground/outside crews all across the US the last month. Great FB post yesterday.,1
"""I have been taking this birth control for nearly 6 months. My new obgyn told me to stop taking it because of my blood pressure as it rose since I started this pill. I also gained 18lbs on this pill. I even changed my eating to eating healthier which didn&#039;t affect my weight. I also got a shorter temper on these pills. I also have almost constant breakthrough bleeding with mucus probably 3-5 days a week""",0
@united Anna Palm Springs gate 19  deserves a medal! Handled 30 ppl missing flights like a pro!,1
Apple Inc's Brand Value Jumped 21% -- Here Are 3 Companies Soaring Even ... http://t.co/1uquSOjXLm #AAPL,1
"Nice place to stay, neat and staff are very homely, corteous, helpful so much so that you dont want to leave. Close to a big Target store for easy shopping. Easy transportation to any part of the city.",1
"""I&#039;ve taken dulcolax before and didn&#039;t have a bad experience so I wasn&#039;t prepared for what was to come. I was slightly constipated and had to call into work yesterday due to really painful cramps so last night I took ONE dulcolax around 10pm, had a midnight snack (easy mac) and then fell asleep. I don&#039;t even remember getting to the toilet but all of a sudden I was on the toilet and it was like a tap  turned on full and cringing in pain  from my stomach, I was so weak, dizzy, sweaty, once the diarrhea would stop I&#039;d tumble off the toilet onto the floor and lay in the fetal position crying. Thank God for my boyfriend he got me a water and a plastic bin so I could poo and vomit at the same time. It was miserable. It&#039;s 1130a now and I&#039;m still having cramps""",0
"""Diflucan works freaking miracles; I&#039;m never using OTC creams again. Last month (after a round of antibiotics) I developed a mild yeast infection and used Monistat One Day to clear it up. Unfortunately, I should&#039;ve listened to other reviewers about Monistat because, this month before my period, the infection came back with vengeance! I called up my doctor and got a prescription for the genetic 200mg Diflucan. This drug is a heaven send! I took it with food at 5pm, and by 7pm, I was already feeling better. The discharge was firming up and exiting my body, the itching was lessening, and the discomfort of my labia was improving. No discomfort, burning, or messy creams with this medication. Why deal with Monistat when Diflucan is an option?""",1
"What one would expect for an RC property. The restaurant was excellent and the room was spacious and comfortable. It is near many restaurants and the Metro station is right in front for an affordable commute into D.C. All things considered, a great pick for you stay in the D.C. area.",1
"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET",0
"""This is only day 2 for me, and you&#039;d think that&#039;d be slightly early to review the med. However, I&#039;ve felt so much better already having had the edge taken off my latest serious bout of depression. No bad side effects yet- only some thirst, slight sore head now and again - probably due to the thirst. Slept great, and still bright and able to work. I was on quetiapine last year for my depression and that was awful- felt like a zombie and I was listless most of the day. The treatments are night and day for me. Lately I had tried other means to alleviate my depression, but sometimes you&#039;ve just got to ask for help, and I&#039;m glad I did and received this little wonder.""",1
@AmericanAir @gerri_elliott You will!! Every chance I get! Thanks for keeping me Exec Platinum.,1
@USAirways the entire flight crew on flight 738 from BOS to PHL is doing a wonderful job and making this experience not totally suck. ð,1
@CheyennePaige  Well then yes. Allllll of ours are better. By far.,1
"""Been on this medicine for over 12 years started on 50 mg now at 200 mg ER. Been on 200mg for over 7 years now works real good I am 36 and it must be hereditary because both my younger sisters were on blood pressure medicines at a early age. My parents take 2 different blood pressure medicines as well. Works good for me when I check it every day.""",1
@AmericanAir I guess I was one of the select few that hadn't had many problems before this and all the sudden my whole trip got jacked,0
"The Bank of Tokyo-Mitsubishi UFJ , Ltd acted as agent for the loan .",0
@AmericanAir I know.  After an hour I got a live person.  It messes up our arrival and car plans at two airports and is costing us more.,0
@BethDanielle  Sadly you did.... She sang &quot;You Belong With Me&quot;. I'll try to find you a video of it(:,0
@USAirways thanks Travis at PHL A East checkin for knowing baggage policies. Skis &amp; boots count as 1. Teach your mgr who didn't know,1
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,1
Competition authorities will have to approve the deal before it can be finalized .,0
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,0
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,1
@VirginAmerica I love the hipster innovation. You are a feel good brand.,1
"Bad experience. Most of the employees live at the hotel. Lady bartender was great but apparently the system in the restaurant went down all weekend so no food and very inconvenient to leave hotel to get food as the hotel is tucked way off in an industrial park. Room stank like feet, bathroom had stains on the wall, light fixtures nearly falling off the wall, carpets were very stained. Overall horrible hotel",0
@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,1
"""I have been on this birth control for about a month now and it has my private area feeling itchy and burning right after sex . It only happens right after sex. So I stopped using it""",0
"""It does help so many people, it helped me. I&#039;m clean now. Be cautious when detoxing. Please do it slowly.  And after you detox from methadone, you will not feel normal right away. It takes a good two weeks to get your normalcy back.""",1
"""Here is a outline of my experience using Suprep
- The day before using Suprep, I ate a little lighter than normal
- The day that on which I will take Suprep
   1. Clear liquid diet all day. Clear liquid can be water, dark cola, tea (no milk) , gatorade or jello (yellow or green ok)
   2. at 5pm, drank first dose of 6 oz suprep that was mixed with 4 oz of water. Within a hour, drank 32 oz of water. BM occurred with 30 mins and more BM&#039;s. BM were like pee&#039;ing from the anus (this is what should happen)
   3. at 10:30 pm, drank second dose of 6 oz suprep mixed with 4 oz of water. Within a hour drank 32 oz of water. More BM&#039;s occurred until I went to sleep around 12 am. Few more BM&#039;s throught the night. 
   4. Woke up around 5:30am , more BM""",1
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,0
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",1
. @united you know your updates every 6 hours telling me you don't know where my bags are is also equally irritating. #ColtsMissingBags,0
"""I was skeptical at first, considering that this was a generic version of the Plan B, even though my pharmacist assured me it did the exact same things and had the exact same ingredients, and the amount of bad reviews but it works!!! I took it the same day of having unprotected sex and a week and a couple days later my period came on. Just stay calm and try not to stress it&#039;ll most likely work!!!""",1
"""Subutex/Buprenorphine MIRACLE for me! My life was being destroyed by narcotic pain medication. I was switched back and forth between Dilaudid, Hydrocodone 10mg (Norco) and Oxycodone. My tolerance got higher and higher for the medication with lower thresholds for pain. I was heavily into abuse. Oxycontin was the next choice, (which I never abused) but I was in a stupor. Neglecting my family and experiencing blackouts. Drug treatment alone did nothing to manage the chronic pain I had from an almost fatal car accident. I found Subutex. Four yrs on Subutex I&#039;m employed and mending family damage. Subutex has a ceiling and was created to prevent abuse. It works! I have a life again.""",1
@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace,1
@JetBlue The chairs could use some TLC. And more power outlets in the area would be a bonus. Headed to @UniversalORL !,1
"""Purchased this a few years ago and forgot to write a review. Needless to say I'm still using it and have no problems. I purchased this back when the cheapest HDMI cord was $30.00. Great buy",1
28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,1
@united I would have made it if you hadn't already booked me on another flight and Cancelled Flighted my original reservation.,0
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,1
"""I use Cymbalta 60mg at night. I sleep better, eat better, and feel better. Doctor diagnosed me with major depression disorder and placed me on Cymbalta and counseling. My life is 90% better! I am so thankful! Oh, and I had my thyroid checked: low thyroid. I take Synthroid 50mcg in the morning.""",1
"Gotta love the Genius Bar @ @apple!! Thanks for your help Alex!! @ Apple Store, Suburban Square http://t.co/OLfpZ8m9qX",1
@jessfaith oh thats a shame  I'm at Copse B so probably won't get on TV but will try &amp; put some flags up as front row. What book is that?,0
@SouthwestAir you're my early frontrunner for best airline! #oscars2016,1
"""I have used Testim for more than 5 years and at first hated that it was sticky.  The doctor told me to let it dry and then sprinkle powder on it and it solved the issue.  Even when I sweat it will not get sticky.  It has boosted my levels and I have so much more energy.""",1
@SouthwestAir Yes. I figured an hour was a long enough time to hold before giving up. Can somebody call me?,0
"""I was diagnosed with stage 4 endometriosis after my 1st laparoscopy in june 2015. Following my 1st surgery i started Lupron injections in hopes to slow the endo growth. I had 3 rounds of Lupron causing terrible side effects which included but not limited to: fatigue, night sweats, mood swings, joint pain, severe abdominal pain, lack in sex drive, natural lubrication, anxiety.. Dec 2015 my 2nd laparoscopy and 6mths of Lupron left me with stage 3 Endometriosis. Doc wanted to continue with 6 MORE months of Lupron and another surgery. I declined such offer. I am very unhappy with how this drug effected my life.My body will never be the same after Lupron. Dont take this drug.""",0
@AmericanAir I filled out that whole form before receiving a poor poor response. Is there no direct email address in reply?,0
Death by Twitter? http://tinyurl.com/lzng84 That's not a good idea ,0
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,1
@jenn_leigh I think there would be a whole group of us who were delirious the entire time ... would be awesome. ,1
listening to F.T Island - Until You Return  LEARNING INDONESIAN PUBLICITY IS BOORIIING~ Hahaha,1
"""The Nook Color is OK as an e-book reader and the apps Barnes and Noble offer are OK",1
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",0
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,1
#ilove ufos and the paranormal....i know i know...hence the Geek in my username ,1
"""I was put in the hospital with MRSA IN my lungs. I was really mentally frustrated and was having withdrawals from morphine. I couldn&#039;t sleep and was very ill. This medicine was the greatest thing they could have given me to help me calm down and sleep. I would recommend it, but I will say that it knocked me out cold for the night and I was groggy in the morning. But when I decided to quit taking it, I had no withdrawal symptoms.""",1
@united @FAANews unacceptable practice to leave Cancelled Flighted flight passengers to sleep on cement with no pillows #UA1724 http://t.co/nDTLJ15ZpU,0
"""Nuva Ring has had both negative and positive effects on me. First of all I actually LOST weight. I have an increased sex drive and have had no slipping and it has never fallen out. Unfortunately I have had more depressive periods and cramps have been horrible. But on the most important note I have been using it for a year and haven&#039;t gotten pregnant. So it&#039;s done its job and the side effects haven&#039;t been unbearable. So if you are deciding whether or not to use this, the best advice I can give is do what is best for you and your body.""",1
I had a terrible experience with this hotel. I did not have towel rack or telephone in my room. Also there was an issue with the cleanliness of the room.,0
"""LOVE Zyrtec D...HATE HATE HATE THE PACKAGING....why can&#039;t you put it in a bottle instead of having to open ALL these tiny blister packs!!! This packaging is AWFUL!!""",1
@JetBlue it's ridiculous that I just got home and I was supposed to land 3 hours ago bc I am HELLA tired,0
@SouthwestAir it's pretty stupid and I probably won't fly it again. Plus hearing nightmare stories of overbooked flights.,0
"""I do not like this drug!  it gives me an upset stomach, dry mouth, gaining even more weight, makes me feel like I&#039;m about to barf sometimes, I get double vision, dizziness, and even blurred vision.  My doctor thought it was such a wonderful idea, and I have told her about my reactions to this medication, but she still thinks its a great medication.  I wish she were in my shoes!""",0
#Apple admits it deleted songs purchased through competing stores from iPods ... - http://t.co/5YDlxI8TJ5 #AAPL #RealNetworks,0
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,0
"""Very disappointed with this device:*) Touch screen is quirky",0
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,1
"""From the insertion I was uncomfortable and the cramp was so painful. The Dr said to expect a pinch and a cramp. Haha I was in pain and having contraction like cramps for weeks.  Today was one month and I had severe cramps for hours. I finally reached in and pulled it out. Who knew something so small could have me doubled over in pain from just walking or sitting the wrong way. I was taking minimum 6 pain pills a day. God bless anyone else going through these cramps. It wasn&#039;t worth it.
I did not have insurance so I am greatful that planned hoods sponsors paid for it.""",0
@SouthwestAir they arrived Late Flight but pilots got us to DIA on time. #impressive #outstanding #greatservice #allgood,1
@JetBlue   Phone agents can't see same flights I see online???  Can't change tickets even when I am paying. Very frustrating #jetblue,0
@benh4ll @netflix @Apple @tim_cook Great news! hope your wifi gets sorted though!,1
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,1
"""I tried citalopram a couple years ago, it helped.  Began at 20mg per day, which helped a bit. Eventually went to 40mg citalopram and 400mg Wellbutrin. It was so good to feel human again. """,1
@MrInfamy you've done smething I really really enjoyed spending time wit u and your friends that was cool by the way don't stop ,1
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",0
almost time for talkin' 'bout your generation  yayayayayayay ,1
@united really 1st flt frm IAD 2 IAH is - Late Flight &amp; -going via Nashville? #inconvenience. Downgraded but not on ticket,0
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,1
had a really horrible day. i hate my job more than anything! anyone wanna get me a new one?  the chem regents was so weird today...,0
Just watching my videos from the Jonas Brothers show ! I hate my camera for not having enough battery !!!!! I couldn't filmed &quot;SOS&quot; ! ,0
@GoldLeader If you have a copy you need to send it to me... my computer died and lost my pics ,0
"""Yep - best thing ever for Rosacea.  HOWEVER, costs about $600 a tube in the US. This is obscene. 

Would gladly give it 10 points if I could afford it. About to use up my sample.  Looks like I will be making my own...""",0
"""I received the Nook as a Christmas present.  I already own a Kindle latest generations",1
"tweeks @apple get a new patent for protection with a center gravity motor. Automatically senses the impact ratio. 
http://t.co/Z26FdliVf3",1
"""Worst birth control ever. I started taking it after my doctor thought I would get pregnant.... even though condoms are used. I&#039;ve been on it for 1 1/2 weeks now and my body rejects the pill by vomiting it back up. I&#039;ve had a really bad acne breakout and I have started to get panic attacks so bad that it&#039;s hard to physically and emotionally function. At this point, I&#039;d rather go through 9 months of pregnancy and a million hours of labor than take this.""",0
"The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ál volume capacities .",0
@taylorswift13 Wow! Just watched you preform on the today show  GOOD JOB! We love all your songs here at Debby_Ryan_Team :] Thanks,1
@JetBlue Thanks for the complimentary upgrade to first.  You are the best!,1
"""This pill makes me so nauseated and ill feeling that there is no way this should have ever been cleared by the FDA. After 2 months of taking it to let it &quot;kick in&quot; I feel like I&#039;m physically dying. I&#039;ve taken other anti-depressants that were fine. This should be recalled immediately.""",0
@SouthwestAir Thanks. 436. Only a minor delay so not a big deal. :)Appreciate the concern though. Boarding now. You do have amazing service!,1
@theDebbyRyan Hey Girl You Remind Me So Much Of @selgomez  ur play bailey so well! ur so pretty and u seem so nice God Bless xoxox!!,1
"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",0
@USAirways thanks for your help! I left a message for DCA lost and found. Fingers crossed we find it!,1
"""Have the copper IUD for about 6 month&#039;s! ! Just found out I&#039;m pregnant!!""",0
@USAirways of course never again tho . Thanks for tweetin ur concern but not Doin anythin to fix what happened. I'll choose wiser next time,0
"""I had moderate to severe acne starting around the age of 15/16, right around when I got my first period. By age 20 my skin still wasn&#039;t clear, even on Yaz. That medication did wonders for my endometriosis and cramps, but my skin didn&#039;t get better. I talked to my doctor about spiro and we agreed that it was a good plan. 100mg/day for the first month, then down to 50mg/day. The idea was to &quot;shock my system&quot; for a big clearing. That first month was TERRIBLE. I broke out like never before with massive cystic, painful zits. My self esteem was worse than ever. BUT, I stuck with it. Today I&#039;m on my 6th month of spiro and I LOVE it. I sometimes get a zit here or there, but nothing like before-- mostly just blackheads. My skin is even and clear!""",1
Dirty rooms. Outdated decor. Faulty lights. Bad odor. Terrible breakfast. Would not recommend or stay here again. Disgusting.,0
I just realized that I'm missing the MTV movie awards.but I have to sleep to get up early tomorrow.erghh fml ,0
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,0
"""The patches kept coming off after 2 to 3 days. The backing is way to hard and not   enough to peel off 2nd half without touching 1st half of patch causing that part not to adhere to skin. Bayer should really consider 3M&#039;s adhesive manufacturing and backing that peels with ease and stays on until removed and in water.""",0
@archfanatic13 i suck at Geometry BIG TIME! lol.. probably my worst subj!  i got sick of neopets already. O_o,1
"""Does not work at all!!!!!!!!! I started using Abreva at the first sign of a cold sore and less than 4 hours  later I had a small bump appear. I was using Abreva all day but by bedtime ( 12 hour&#039;s after I first applied ) I had a full blown cold sore. 2 days later and now my whole top lip is broke out. I washed the area and used Q tips to apply but for some reason it still spread. I have never had one to spread before so I will never use this again. I will just stick with tea tree oil.""",0
@AmericanAir so great AA1103 sitting for an hour first technical problems now what?,0
"We arrived at around 11am. We're told room not ready yet, try in a few hours. But definitely by 4pm!! Room finally ready at 4pm as with everyone else's so we had to wait in line for check in. Because we were early our bags were last to be delivered. Waited 2 hours for our bags and ended up getting... More",0
Was a good time. Housekeeping missed us one day but we're quick to come when we called about it.would stay again,1
"""I have had a sinus infection for 3 years now, plus Upper respiratory infection and ear infections during the really bad times. I was cultured with Staph A. and Pseudomonas that was resistant to a lot of the antibotics except doxycycline and Augmentin but I&#039;m allergic to penicillin so doxycycline it is. 100mg 2xday and the first few days it is hard because everything is dying and my sinuses are draining like crazy but its the only things that&#039;s working. Don&#039;t lay down for an hr after taking the pill, it did burn my throat horribly but I have not had any other side effects from it except the sun sensitivity. I think this is a small price to pay to feel better and get my life back especially since the chronic fatigue from the constant infection is severe.""",1
@VirginAmerica trying to book a flight &amp; your site is down ð,0
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",1
@AmericanAir would also like say kind move on adding the points !,1
Lmfao RT @hellvcopter: cocky ass apple. i was talking bout da fruit. fuck you. @apple http://t.co/HjISNmx6aZ,0
@AmericanAir @robinreda that can be a stop over before Paris. You are an embarrassment,0
"""I just received this reader after returning a gifted Kindle.  Nice screen and seems much more white than the Kindle Touch I returned.  I did root it to run Android",1
@markhoppus Blink-182 is in the Mother Fucking House w/ a BIG Fat D--- 4 Yo motha fucken Mouth ,1
@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care,1
http://twitpic.com/6ez28 - I wish that could get back to 24/5! It was amazing ,1
@shoelover79 Yup!!! So happy! I already have one foot out the door. The rest of me is still tweeting ,1
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",1
"""This item serves its purpose as well as any other mount.  Its most appealing attribute is its large range of motion.  I am using this to corner-mount a 32"""" TV and it works perfectly to hide the mount",1
"""I&#039;ve been taking this shot since October. I&#039;ve been bleeding non stop since December. It went from a 2 weeks period, to a 2 month period. I&#039;ve taken Meds to help &amp; nothing! This horrible. It&#039;s like I&#039;m on the shot for no reason.""",0
@JetBlue I can't wait to hear back from you regarding the internship opportunity! ð,1
